city_ID,city,cloudiness,country,date,humidity,latitude,longitude,max_temp,wind_speed
154,sao gabriel,2.0,BR,1586573808.0,87.0,-30.34,-54.32,55.85,6.6
155,khonuu,,,,,,,,
156,lagoa,93.0,PT,1586574105.0,72.0,39.05,-27.98,61.12,6.6
157,chimbote,26.0,PE,1586574105.0,78.0,-9.09,-78.58,73.58,5.97
158,hobart,75.0,AU,1586573956.0,58.0,-42.88,147.33,57.0,17.22
159,kamenskoye,,,,,,,,
160,heilbron,10.0,ZA,1586574106.0,55.0,-27.28,27.97,51.94,2.77
161,avarua,100.0,CK,1586574106.0,83.0,-21.21,-159.78,84.2,9.17
162,qasigiannguit,96.0,GL,1586574106.0,46.0,68.82,-51.19,30.2,10.29
163,tateyama,20.0,JP,1586574107.0,44.0,34.98,139.87,62.01,13.87
164,west bay,89.0,KY,1586574107.0,82.0,19.37,-81.42,80.01,1.99
165,kavarna,76.0,BG,1586574093.0,34.0,43.43,28.33,53.6,5.82
166,moron,0.0,AR,1586574107.0,87.0,-34.65,-58.62,64.4,5.82
167,sakakah,58.0,SA,1586574107.0,50.0,29.97,40.21,55.4,4.7
168,ulladulla,75.0,AU,1586574108.0,40.0,-35.35,150.47,71.6,29.97
169,gurskoye,,,,,,,,
170,dolbeau,,,,,,,,
171,de aar,4.0,ZA,1586574108.0,58.0,-30.65,24.01,59.49,11.59
172,namatanai,56.0,PG,1586574109.0,69.0,-3.67,152.43,84.76,5.3
173,nome,90.0,US,1586573997.0,97.0,64.5,-165.41,32.0,11.41
174,fortuna,90.0,US,1586574109.0,93.0,40.6,-124.16,55.99,10.29
175,aylesbury,99.0,GB,1586574109.0,81.0,51.82,-0.81,53.01,5.82
176,aklavik,75.0,CA,1586574110.0,53.0,68.22,-135.01,21.2,8.05
177,saleaula,,,,,,,,
178,bethel,90.0,US,1586574056.0,48.0,41.37,-73.41,45.0,11.41
179,luangwa,50.0,ZM,1586574111.0,73.0,-15.62,30.42,68.9,5.7
180,kualakapuas,75.0,ID,1586574111.0,94.0,-3.01,114.39,78.8,5.82
181,east london,1.0,ZA,1586574112.0,81.0,-33.02,27.91,67.42,7.27
182,chuy,0.0,UY,1586574112.0,83.0,-33.7,-53.46,61.29,4.23
183,kalomo,,,,,,,,
184,hermanus,99.0,ZA,1586574112.0,90.0,-34.42,19.23,62.01,5.01
185,huarmey,41.0,PE,1586574113.0,75.0,-10.07,-78.15,74.62,7.81
186,fare,96.0,PF,1586574113.0,67.0,-16.7,-151.02,84.25,5.03
187,samusu,,,,,,,,
188,el prat de llobregat,20.0,ES,1586574114.0,76.0,41.33,2.09,55.0,5.82
189,saint george,1.0,US,1586573905.0,41.0,37.1,-113.58,59.0,16.11
190,ust-kamchatsk,,,,,,,,
191,idrinskoye,0.0,RU,1586574114.0,73.0,54.37,92.14,35.69,2.08
192,aswan,37.0,EG,1586574114.0,31.0,24.09,32.91,64.4,11.41
193,pangnirtung,96.0,CA,1586574115.0,79.0,66.15,-65.71,13.73,4.56
194,parry sound,29.0,CA,1586574115.0,85.0,45.35,-80.03,36.0,13.0
195,pisco,0.0,PE,1586574115.0,83.0,-13.7,-76.22,72.0,8.05
196,port elizabeth,7.0,ZA,1586574018.0,100.0,-33.92,25.57,55.4,2.24
197,solikamsk,100.0,RU,1586574115.0,86.0,59.62,56.77,38.86,11.48
198,vicosa,85.0,BR,1586573991.0,99.0,-20.75,-42.88,69.01,2.48
199,khed brahma,0.0,IN,1586574116.0,15.0,24.03,73.05,91.06,6.76
